우선 순위,Epic,기능,요구사항,작업 범위,요구사항 명세,담당자
2순위,설정,송금 QR 생성,카카오 송금 QR 저장,Backend,사용자의 카카오톡 송금 QR코드 입력받아 링크를 DB에 저장,randallkk
2순위,회원 관리,소셜 로그인,카카오톡 소셜 로그인,Frontend,,
2순위,회원 관리,소셜 로그인,카카오톡 소셜 로그인,Backend,,
2순위,회원 관리,로그아웃,사용자 로그아웃,Frontend,사용자 세션 ID 삭제,
2순위,회원 관리,로그아웃,사용자 로그아웃,Backend,사용자 세션 ID 삭제,randallkk
2순위,회원 관리,계정 탈퇴,계정 탈퇴,Frontend,,
2순위,회원 관리,계정 탈퇴,계정 탈퇴,Backend,,randallkk
2순위,마이페이지,회원정보,닉네임 표시,Frontend,닉네임 표시,
2순위,마이페이지,회원정보,프로필 사진 표시,Frontend,프로필 사진 표시,
2순위,마이페이지,회원정보,프로필 사진,Backend,카카오톡에서 프로필 사진 받아오기 (동의 못받으면 기본 이미지),
2순위,마이페이지,회원정보,계좌 인증,Frontend,계좌 인증 버튼을 클릭하여 계좌 인증 진행,
2순위,마이페이지,회원정보,계좌 인증,Backend,금결원 1원 인증 api를 통한 사용자 계좌 인증,
2순위,마이페이지,회원정보 수정,닉네임 수정,Frontend,닉네임 수정 내용 api 전송,
2순위,마이페이지,회원정보 수정,닉네임 수정,Backend,,
2순위,마이페이지,회원정보 수정,프로필 사진 수정,Frontend,프로필 사진 수정 내용 api 전송,
2순위,마이페이지,회원정보 수정,프로필 사진 수정,Backend,프로필 사진 업로드,
2순위,마이페이지,회원정보,프로필 사진 저장,Backend,프로필 사진 S3에 업로드,
2순위,모임 만들기,카드 생성,모임 카드 작성,Backend,입력된 모임의 정보들을 DB에 저장,
2순위,모임 만들기,모임 정보 기입,모임 이름 작성,Frontend,모임 이름 작성,
2순위,모임 만들기,모임 정보 기입,모임 이름 작성,Backend,모임 이름 작성,
2순위,모임 만들기,모임 정보 기입,모임 설명 작성,Frontend,모임 설명 작성,
2순위,모임 통계,만남 횟수 랭킹,만남 통계 및 랭킹,Frontend,사용자 간 만남 횟수 출력,
2순위,모임 통계,만남 횟수 랭킹,만남 통계 및 랭킹,Backend,사용자 간 만남 횟수 산정,
2순위,모임 통계,모임 지역 통계,모임 지역 통계,Frontend,모임 지역 통계 출력,
2순위,모임 통계,모임 지역 통계,모임 지역 통계,Backend,모임 지역 통계 ( 정산 내역에 가게 위치 저장 ),
2순위,모임 통계,모임 시간 통계,모임 시간 통계,Frontend,만나는 시간 통계 출력,
2순위,모임 통계,모임 시간 통계,모임 시간 통계,Backend,"만나는 시간 통계 ( 오전파, 오후파. etc )",
2순위,모임 관리,모임 정보 수정,모임 정보 수정,Frontend,"모임 정보에 대해 수정한 내용(+사진, 동영상 업로드)을 api로 전송",
2순위,모임 관리,모임 정보 수정,모임 정보 수정,Backend,새로 입력된 데이터( 기존 데이터 변경 or 모임 사진 업로드)로 해당 모임 수정,
3순위,정산하기,비용 정보 기입,영수증 촬영,Frontend,영수증 OCR을 통해 금액 받아오기,
3순위,정산하기,비용 정보 기입,영수증 촬영,Backend,영수증 OCR을 통해 금액 받아오기,
3순위,정산하기,비용 정보 기입,직접 입력,Frontend,사용자가 N빵할 금액을 직접 입력,
3순위,정산하기,비용 정보 기입,직접 입력,Backend,사용자가 N빵할 금액을 직접 입력,
3순위,정산하기,참여자 선택,정산에 포함될 참여자 선택,Backend,각 차수 별 정산에 포함될 사용자 선택,
3순위,정산하기,N빵,사용자 별 비용 출력,Frontend,서버에서 받아온 사용자 별 정산비용 출력,
3순위,정산하기,N빵,사용자 별 비용 출력,Backend,사용자 별 정산비용 산정 후 출력,
3순위,정산하기,정산 요청,참여자들에게 정산 요청,Frontend,서버에서 받아온 사용자 별 정산비용을 통해 각 참여자들에게 정산 요청보내기,
3순위,정산하기,정산 요청,참여자들에게 정산 요청,Backend,사용자 별 정산비용 산정 후 참여자들에게 정산 요청,
3순위,정산하기,정산 진행,계좌 송금,Frontend,정산 요청자의 계좌로 정산 금액 송금,
3순위,정산하기,정산 진행,계좌 송금,Backend,정산 요청자의 계좌로 정산 금액 송금,
3순위,정산하기,정산 진행,카카오페이 링크 송금,Frontend,정산 요청자의 카카오페이 송금 링크로 정산 금액 송금,
3순위,정산하기,정산 진행,카카오페이 링크 송금,Backend,정산 요청자의 카카오페이 송금 링크로 정산 금액 송금,
3순위,설정,알림 설정,모임 알림 켜기/끄기,Frontend,토글을 이용하여 모임 알림 켜기/끄기,
3순위,설정,알림 설정,모임 알림 켜기/끄기,Backend,모임 알림 여부 설정,
3순위,설정,알림 설정,채팅 알림 켜기/끄기,Frontend,토글을 이용하여 채팅 알림 켜기/끄기,
3순위,설정,알림 설정,채팅 알림 켜기/끄기,Backend,채팅 알림 여부 설정,
3순위,설정,알림 설정,약속 알림 켜기/끄기,Frontend,토글을 이용하여 약속 알림 켜기/끄기,
3순위,설정,알림 설정,약속 알림 켜기/끄기,Backend,약속 알림 여부 설정,
3순위,모임 관리,모임 나가기,모임 나가기,Frontend,사용자의 ID와 모임 ID api 전송,
3순위,모임 관리,모임 나가기,모임 나가기,Backend,사용자의 ID와 모임 ID를 통해 탈퇴처리,
,,,,Backend,,
3순위,알림,앱 푸시 알림,내용 수정 알림,Frontend,구성원이 모임에 대한 내용을 수정했을 때 푸시 알림,
3순위,알림,앱 푸시 알림,구성원 간 상호작용 알림,Frontend,위치 공유 기반 상호작용했을 때 푸시 알림 (ex. 재촉하기 등),
3순위,알림,앱 푸시 알림,안전 귀가 알림,Frontend,귀가 장소 도착 시 다른 구성원들에게 푸시 알림,
3순위,알림,앱 푸시 알림,약속 리마인드 알림,Frontend,약속 하루 전 해당 모임에 대한 푸시 알림,
3순위,알림,앱 푸시 알림,약속 임박 알림,Frontend,약속 한 시간 전 해당 모임에 대한 푸시 알림 및 실시간 위치 공유 시작,
